City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
605,Karratha,AU,81.16,clear sky,-20.7377,116.8463,ibis Styles Karratha
612,Kihei,US,80.62,scattered clouds,20.785,-156.4656,Maui Sunset
619,Vaitape,PF,82.69,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
626,Fomboni,KM,82.54,overcast clouds,-12.28,43.7425,Auberge les abou
627,Tikrit,IQ,86.02,overcast clouds,34.6071,43.6782,عماره العبطه
632,Carupano,VE,82.29,broken clouds,10.6678,-63.2585,Hotel La dorada
641,Pochutla,MX,87.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
643,Ghazipur,IN,81.0,clear sky,25.5833,83.5667,Gov. City Inter College Hostel
646,Jawhar,SO,80.56,overcast clouds,2.7809,45.5005,hantiwadaag village part one
650,Buala,SB,83.21,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
652,Hurghada,EG,82.44,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
667,Kousseri,CM,93.16,scattered clouds,12.0769,15.0306,Le Pilotis
674,Nanakuli,US,80.55,few clouds,21.3906,-158.1547,Camp Pālehua
677,Tandalti,SD,91.9,scattered clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
680,Ibra,OM,80.28,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
681,Tibati,CM,80.94,overcast clouds,6.4667,12.6333,Tibati Hotel
694,Ahuimanu,US,80.31,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
695,Diamantino,BR,84.49,few clouds,-14.4086,-56.4461,Hotel Delta
697,Isangel,VU,84.31,scattered clouds,-19.55,169.2667,Tanna Lodge
