City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Korla,CN,41.7597,86.1469,68.54,22,100,7.43,overcast clouds
70,Cape Town,ZA,-33.9258,18.4232,62.28,64,0,8.01,clear sky
71,San Patricio,US,28.017,-97.5169,84.16,16,0,5.1,clear sky
72,Goure,NE,13.9835,10.2704,86.41,10,0,6.44,clear sky
73,Loandjili,CG,-4.7561,11.8578,78.12,92,14,4.94,few clouds
74,Boa Vista,BR,2.8197,-60.6733,91.38,46,40,10.36,scattered clouds
75,Bezhanitsy,RU,56.9767,29.8907,35.96,82,71,8.93,broken clouds
76,Carnarvon,AU,-24.8667,113.6333,66.27,88,75,6.91,broken clouds
77,Mehamn,NO,71.0357,27.8492,33.75,69,40,19.57,scattered clouds
78,Qaanaaq,GL,77.484,-69.3632,-1.82,75,0,5.86,clear sky
79,Hammerfest,NO,70.6634,23.6821,30.65,80,40,27.63,scattered clouds
80,Bethel,US,41.3712,-73.414,63.63,43,20,6.91,few clouds
81,Miri,MY,4.4148,114.0089,77.58,89,100,13.22,overcast clouds
82,Hambantota,LK,6.1241,81.1185,79.21,79,96,7.72,overcast clouds
83,Bambous Virieux,MU,-20.3428,57.7575,75.22,81,81,14.16,light rain
84,Kaitangata,NZ,-46.2817,169.8464,53.01,68,12,10.94,few clouds
85,Ostrovnoy,RU,68.0531,39.5131,31.71,95,100,21.52,overcast clouds
86,Chokurdakh,RU,70.6333,147.9167,-17.09,97,79,9.15,broken clouds
87,Vaini,TO,-21.2,-175.2,84.36,79,75,3.44,broken clouds
88,Wattegama,LK,6.7989,81.4808,74.3,90,91,1.74,overcast clouds
89,Portree,GB,57.4129,-6.1942,38.52,73,55,9.1,broken clouds
90,Cukai,MY,4.25,103.4167,73.85,96,100,0.65,overcast clouds
91,Hualmay,PE,-11.0964,-77.6139,70.75,78,83,7.74,broken clouds
92,Trinidad,BO,-14.8333,-64.9,85.12,72,100,3.94,overcast clouds
93,Sassandra,CI,4.95,-6.0833,81.34,82,100,9.19,overcast clouds
94,Hofn,IS,64.2539,-15.2082,31.01,56,100,11.45,overcast clouds
95,Tangzhai,CN,34.4328,116.5911,62.56,51,17,10.8,few clouds
96,Mahebourg,MU,-20.4081,57.7,75.25,81,82,14.18,light rain
97,Kodiak,US,57.79,-152.4072,29.71,51,0,16.11,clear sky
98,Castro,BR,-24.7911,-50.0119,66.96,91,100,5.3,moderate rain
99,Richards Bay,ZA,-28.783,32.0377,64.72,89,100,2.44,light rain
100,Coquimbo,CL,-29.9533,-71.3436,58.73,88,75,6.91,broken clouds
101,Biak,ID,-0.9131,122.8766,76.14,81,100,2.91,overcast clouds
102,Itarema,BR,-2.9248,-39.9167,78.85,85,60,11.25,moderate rain
103,Barrow,US,71.2906,-156.7887,6.82,72,100,20.71,light snow
104,Carlsbad,US,33.1581,-117.3506,102.34,13,0,13.8,clear sky
105,Hervey Bay,AU,-25.2986,152.8535,71.02,96,95,8.01,overcast clouds
106,Port Elizabeth,ZA,-33.918,25.5701,60.1,95,100,5.99,overcast clouds
107,Eureka,US,40.8021,-124.1637,62.13,67,7,10.0,clear sky
108,Thompson,CA,55.7435,-97.8558,38.03,59,93,8.34,overcast clouds
109,Zhigansk,RU,66.7697,123.3711,-0.22,97,21,9.98,few clouds
110,Ribeira Grande,PT,38.5167,-28.7,57.61,90,94,30.38,overcast clouds
111,Araouane,ML,18.9048,-3.5265,88.38,11,51,12.33,broken clouds
112,Severo-Kurilsk,RU,50.6789,156.125,30.74,74,63,15.68,broken clouds
113,Tabory,RU,58.5198,64.5495,31.33,93,99,2.98,overcast clouds
114,Cherskiy,RU,68.75,161.3,-16.01,89,5,1.5,clear sky
115,Leningradskiy,RU,69.3833,178.4167,-9.2,85,92,4.81,overcast clouds
116,Cascais,PT,38.6979,-9.4215,61.47,77,75,15.99,broken clouds
117,Topolobampo,MX,25.6,-109.05,82.31,36,40,12.66,scattered clouds
118,Aranos,NA,-24.1333,19.1167,71.22,43,42,7.47,scattered clouds
119,Nemuro,JP,43.3236,145.575,36.19,81,99,11.92,overcast clouds
120,Kruisfontein,ZA,-34.0033,24.7314,57.88,75,98,8.1,overcast clouds
121,Burnie,AU,-41.0667,145.9167,61.92,84,100,12.26,overcast clouds
122,Myitkyina,MM,25.3833,97.4,68.11,74,40,3.04,scattered clouds
123,Bairiki,KI,1.3292,172.9752,82.4,78,75,13.8,broken clouds
124,San Carlos De Bariloche,AR,-41.1456,-71.3082,62.69,45,37,3.04,scattered clouds
125,Qinhuangdao,CN,39.9317,119.5883,55.83,71,34,5.5,scattered clouds
126,Vestmannaeyjar,IS,63.4427,-20.2734,35.71,55,100,7.87,overcast clouds
127,Katsuura,JP,35.1333,140.3,60.78,75,0,15.08,clear sky
128,Iqaluit,CA,63.7506,-68.5145,20.7,67,9,8.01,clear sky
129,Adrar,MR,20.5022,-10.0711,78.84,10,0,10.07,clear sky
130,Ponta Do Sol,PT,32.6667,-17.1,61.12,75,60,1.21,broken clouds
131,Namibe,AO,-15.1961,12.1522,72.39,74,1,5.88,clear sky
132,Mount Isa,AU,-20.7333,139.5,73.17,43,11,8.05,few clouds
133,Yenagoa,NG,4.9247,6.2642,79.16,90,100,6.26,overcast clouds
134,Luanda,AO,-8.8368,13.2343,77.76,89,99,8.7,overcast clouds
135,Mecca,SA,21.4267,39.8261,79.38,37,0,1.7,clear sky
136,Ust-Nera,RU,64.5667,143.2,18.09,95,100,3.51,light snow
137,Yar-Sale,RU,66.8333,70.8333,-11.65,98,65,7.78,broken clouds
138,Mar Del Plata,AR,-38.0023,-57.5575,69.1,91,0,9.22,clear sky
139,Caucaia,BR,-3.7361,-38.6531,79.03,80,0,9.22,light rain
140,Rabo De Peixe,PT,37.8,-25.5833,62.11,88,75,23.02,broken clouds
141,Berlevag,NO,70.8578,29.0864,33.8,75,75,31.07,broken clouds
142,Cap Malheureux,MU,-19.9842,57.6142,75.47,90,59,5.99,broken clouds
143,Jaleswar,NP,26.6471,85.8008,78.6,56,0,11.41,clear sky
144,Konakovo,RU,56.7,36.7667,42.12,92,100,10.71,overcast clouds
145,Katobu,ID,-4.9408,122.5276,74.01,93,74,2.48,broken clouds
146,Montclair,US,40.8259,-74.209,64.44,30,20,16.11,few clouds
147,Envira,BR,-7.3,-70.2167,77.67,91,99,2.53,overcast clouds
148,Nome,US,64.5011,-165.4064,11.16,85,100,16.11,mist
149,Talnakh,RU,69.4865,88.3972,-2.79,98,100,3.31,overcast clouds
150,Puerto Escondido,MX,15.85,-97.0667,83.23,69,40,5.75,scattered clouds
151,Lompoc,US,34.6391,-120.4579,98.78,51,8,5.99,clear sky
152,Carndonagh,IE,55.25,-7.2667,36.88,74,32,8.19,scattered clouds
153,Elk Point,US,42.6833,-96.6836,53.44,26,1,19.84,clear sky
154,Ngunguru,NZ,-35.6167,174.5,63.63,62,73,8.23,broken clouds
155,Yulara,AU,-25.2406,130.9889,58.35,44,0,7.65,clear sky
156,Port Moresby,PG,-9.4431,147.1797,76.42,88,99,2.26,overcast clouds
157,Kavieng,PG,-2.5744,150.7967,79.07,83,100,9.51,overcast clouds
158,Bayan,CN,46.0833,127.4,40.96,67,13,4.23,few clouds
159,Algiers,DZ,36.7525,3.042,55.22,72,0,2.3,clear sky
